codigo_uf;Estado;Semana;srag_excesso;srag_tot_2020;covid;covid_sub;covid_acum;covid_sub_acum;populacao;covid_100k;covid_sub_100k;covid_acum_100k;covid_sub_acum_100k;UF;code_region;Regiao
42;Santa Catarina;14;  255;  277;  53; 202;  226;  863; 7164788; 0,739728796; 2,81934371;3,154315e+00;12,04501794;SC;4;Sul
42;Santa Catarina;15;  276;  298;  36; 240;  262; 1103; 7164788; 0,502457295; 3,34971530;3,656773e+00;15,39473324;SC;4;Sul
42;Santa Catarina;16;  267;  296;  50; 217;  312; 1320; 7164788; 0,697857355; 3,02870092;4,354630e+00;18,42343416;SC;4;Sul
42;Santa Catarina;17;  272;  302;  71; 201;  383; 1521; 7164788; 0,990957444; 2,80538657;5,345587e+00;21,22882073;SC;4;Sul
42;Santa Catarina;18;  249;  291;  60; 189;  443; 1710; 7164788; 0,837428826; 2,63790080;6,183016e+00;23,86672153;SC;4;Sul
42;Santa Catarina;19;  227;  289;  71; 156;  514; 1866; 7164788; 0,990957444; 2,17731495;7,173974e+00;26,04403647;SC;4;Sul
42;Santa Catarina;20;  263;  339; 104; 159;  618; 2025; 7164788; 1,451543298; 2,21918639;8,625517e+00;28,26322286;SC;4;Sul
42;Santa Catarina;21;  276;  347; 128; 148;  746; 2173; 7164788; 1,786514828; 2,06565777;1,041203e+01;30,32888063;SC;4;Sul
43;Rio Grande do Sul; 1;   18;   26;   0;  18;    0;   18;11377239; 0,000000000; 0,15821062;0,000000e+00; 0,15821062;RS;4;Sul
43;Rio Grande do Sul; 2;   17;   26;   0;  17;    0;   35;11377239; 0,000000000; 0,14942114;0,000000e+00; 0,30763175;RS;4;Sul
43;Rio Grande do Sul; 3;    3;   12;   0;   3;    0;   38;11377239; 0,000000000; 0,02636844;0,000000e+00; 0,33400019;RS;4;Sul
43;Rio Grande do Sul; 4;   13;   22;   0;  13;    0;   51;11377239; 0,000000000; 0,11426322;0,000000e+00; 0,44826341;RS;4;Sul
43;Rio Grande do Sul; 5;   12;   20;   0;  12;    0;   63;11377239; 0,000000000; 0,10547374;0,000000e+00; 0,55373716;RS;4;Sul
43;Rio Grande do Sul; 6;   14;   20;   0;  14;    0;   77;11377239; 0,000000000; 0,12305270;0,000000e+00; 0,67678986;RS;4;Sul
43;Rio Grande do Sul; 7;   14;   22;   0;  14;    0;   91;11377239; 0,000000000; 0,12305270;0,000000e+00; 0,79984256;RS;4;Sul
43;Rio Grande do Sul; 8;   25;   35;   0;  25;    0;  116;11377239; 0,000000000; 0,21973697;0,000000e+00; 1,01957953;RS;4;Sul
43;Rio Grande do Sul; 9;   15;   25;   0;  15;    0;  131;11377239; 0,000000000; 0,13184218;0,000000e+00; 1,15142171;RS;4;Sul
43;Rio Grande do Sul;10;   51;   60;   1;  50;    1;  181;11377239; 0,008789479; 0,43947394;8,789479e-03; 1,59089565;RS;4;Sul
43;Rio Grande do Sul;11;   82;  101;  20;  62;   21;  243;11377239; 0,175789574; 0,54494768;1,845791e-01; 2,13584333;RS;4;Sul
43;Rio Grande do Sul;12;  395;  412;  92; 303;  113;  546;11377239; 0,808632042; 2,66321205;9,932111e-01; 4,79905538;RS;4;Sul
43;Rio Grande do Sul;13;  597;  614;  98; 499;  211; 1045;11377239; 0,861368914; 4,38594988;1,854580e+00; 9,18500525;RS;4;Sul
43;Rio Grande do Sul;14;  498;  525;  75; 423;  286; 1468;11377239; 0,659210903; 3,71794950;2,513791e+00;12,90295475;RS;4;Sul
43;Rio Grande do Sul;15;  506;  536;  96; 410;  382; 1878;11377239; 0,843789956; 3,60368627;3,357581e+00;16,50664102;RS;4;Sul
43;Rio Grande do Sul;16;  567;  605; 157; 410;  539; 2288;11377239; 1,379948158; 3,60368627;4,737529e+00;20,11032729;RS;4;Sul
43;Rio Grande do Sul;17;  687;  740; 230; 457;  769; 2745;11377239; 2,021580104; 4,01679177;6,759109e+00;24,12711907;RS;4;Sul
43;Rio Grande do Sul;18;  663;  714; 209; 454;  978; 3199;11377239; 1,837001051; 3,99042334;8,596110e+00;28,11754240;RS;4;Sul
43;Rio Grande do Sul;19;  683;  759; 251; 432; 1229; 3631;11377239; 2,206159157; 3,79705480;1,080227e+01;31,91459721;RS;4;Sul
43;Rio Grande do Sul;20;  740;  815; 239; 501; 1468; 4132;11377239; 2,100685412; 4,40352884;1,290295e+01;36,31812604;RS;4;Sul
43;Rio Grande do Sul;21;  745;  827; 247; 498; 1715; 4630;11377239; 2,171001242; 4,37716040;1,507396e+01;40,69528644;RS;4;Sul
50;Mato Grosso do Sul; 1;    4;    5;   0;   4;    0;    4; 2778986; 0,000000000; 0,14393739;0,000000e+00; 0,14393739;MS;5;Centro Oeste
50;Mato Grosso do Sul; 2;    4;    6;   0;   4;    0;    8; 2778986; 0,000000000; 0,14393739;0,000000e+00; 0,28787479;MS;5;Centro Oeste
50;Mato Grosso do Sul; 3;    7;    9;   0;   7;    0;   15; 2778986; 0,000000000; 0,25189044;0,000000e+00; 0,53976522;MS;5;Centro Oeste
50;Mato Grosso do Sul; 4;   11;   13;   0;  11;    0;   26; 2778986; 0,000000000; 0,39582783;0,000000e+00; 0,93559305;MS;5;Centro Oeste
50;Mato Grosso do Sul; 5;    9;   10;   0;   9;    0;   35; 2778986; 0,000000000; 0,32385913;0,000000e+00; 1,25945219;MS;5;Centro Oeste
50;Mato Grosso do Sul; 6;   11;   13;   0;  11;    0;   46; 2778986; 0,000000000; 0,39582783;0,000000e+00; 1,65528002;MS;5;Centro Oeste
50;Mato Grosso do Sul; 7;    5;    9;   0;   5;    0;   51; 2778986; 0,000000000; 0,17992174;0,000000e+00; 1,83520176;MS;5;Centro Oeste
50;Mato Grosso do Sul; 8;   14;   15;   0;  14;    0;   65; 2778986; 0,000000000; 0,50378088;0,000000e+00; 2,33898264;MS;5;Centro Oeste
50;Mato Grosso do Sul; 9;   20;   23;   0;  20;    0;   85; 2778986; 0,000000000; 0,71968696;0,000000e+00; 3,05866960;MS;5;Centro Oeste
50;Mato Grosso do Sul;10;   16;   23;   0;  16;    0;  101; 2778986; 0,000000000; 0,57574957;0,000000e+00; 3,63441917;MS;5;Centro Oeste
50;Mato Grosso do Sul;11;   74;   83;   5;  69;    5;  170; 2778986; 0,179921741; 2,48292003;1,799217e-01; 6,11733920;MS;5;Centro Oeste
50;Mato Grosso do Sul;12;  199;  205;  11; 188;   16;  358; 2778986; 0,395827831; 6,76505747;5,757496e-01;12,88239667;MS;5;Centro Oeste
50;Mato Grosso do Sul;13;  164;  174;  11; 153;   27;  511; 2778986; 0,395827831; 5,50560528;9,715774e-01;18,38800195;MS;5;Centro Oeste
50;Mato Grosso do Sul;14;  177;  185;  17; 160;   44;  671; 2778986; 0,611733920; 5,75749572;1,583311e+00;24,14549767;MS;5;Centro Oeste
50;Mato Grosso do Sul;15;  140;  151;  11; 129;   55;  800; 2778986; 0,395827831; 4,64198092;1,979139e+00;28,78747860;MS;5;Centro Oeste
50;Mato Grosso do Sul;16;  113;  124;  11; 102;   66;  902; 2778986; 0,395827831; 3,67040352;2,374967e+00;32,45788212;MS;5;Centro Oeste
50;Mato Grosso do Sul;17;  139;  147;   7; 132;   73; 1034; 2778986; 0,251890438; 4,74993397;2,626857e+00;37,20781609;MS;5;Centro Oeste
50;Mato Grosso do Sul;18;  119;  129;  10; 109;   83; 1143; 2778986; 0,359843482; 3,92229396;2,986701e+00;41,13011005;MS;5;Centro Oeste
50;Mato Grosso do Sul;19;  121;  127;  19; 102;  102; 1245; 2778986; 0,683702617; 3,67040352;3,670404e+00;44,80051357;MS;5;Centro Oeste
50;Mato Grosso do Sul;20;  142;  155;  39; 103;  141; 1348; 2778986; 1,403389582; 3,70638787;5,073793e+00;48,50690144;MS;5;Centro Oeste
50;Mato Grosso do Sul;21;  190;  204;  62; 128;  203; 1476; 2778986; 2,231029591; 4,60599658;7,304823e+00;53,11289801;MS;5;Centro Oeste
51;Mato Grosso; 1;    0;    1;   0;   0;    0;    0; 3484466; 0,000000000; 0,00000000;0,000000e+00; 0,00000000;MT;5;Centro Oeste
51;Mato Grosso; 2;    0;    1;   0;   0;    0;    0; 3484466; 0,000000000; 0,00000000;0,000000e+00; 0,00000000;MT;5;Centro Oeste
51;Mato Grosso; 3;    3;    3;   0;   3;    0;    3; 3484466; 0,000000000; 0,08609641;0,000000e+00; 0,08609641;MT;5;Centro Oeste
51;Mato Grosso; 4;    0;    0;   0;   0;    0;    3; 3484466; 0,000000000; 0,00000000;0,000000e+00; 0,08609641;MT;5;Centro Oeste
51;Mato Grosso; 5;    1;    2;   0;   1;    0;    4; 3484466; 0,000000000; 0,02869880;0,000000e+00; 0,11479521;MT;5;Centro Oeste
51;Mato Grosso; 6;    1;    1;   0;   1;    0;    5; 3484466; 0,000000000; 0,02869880;0,000000e+00; 0,14349401;MT;5;Centro Oeste
51;Mato Grosso; 7;    1;    3;   0;   1;    0;    6; 3484466; 0,000000000; 0,02869880;0,000000e+00; 0,17219281;MT;5;Centro Oeste
51;Mato Grosso; 8;    8;    9;   0;   8;    0;   14; 3484466; 0,000000000; 0,22959042;0,000000e+00; 0,40178323;MT;5;Centro Oeste
51;Mato Grosso; 9;    6;    7;   0;   6;    0;   20; 3484466; 0,000000000; 0,17219281;0,000000e+00; 0,57397604;MT;5;Centro Oeste
51;Mato Grosso;10;    9;   12;   2;   7;    2;   27; 3484466; 0,057397604; 0,20089161;5,739760e-02; 0,77486766;MT;5;Centro Oeste
51;Mato Grosso;11;   42;   44;   8;  34;   10;   61; 3484466; 0,229590416; 0,97575927;2,869880e-01; 1,75062693;MT;5;Centro Oeste
51;Mato Grosso;12;   72;   74;  10;  62;   20;  123; 3484466; 0,286988021; 1,77932573;5,739760e-01; 3,52995265;MT;5;Centro Oeste
51;Mato Grosso;13;  114;  115;  21;  93;   41;  216; 3484466; 0,602674843; 2,66898859;1,176651e+00; 6,19894124;MT;5;Centro Oeste
51;Mato Grosso;14;  115;  117;  22;  93;   63;  309; 3484466; 0,631373645; 2,66898859;1,808025e+00; 8,86792983;MT;5;Centro Oeste
51;Mato Grosso;15;  105;  107;  16;  89;   79;  398; 3484466; 0,459180833; 2,55419338;2,267205e+00;11,42212322;MT;5;Centro Oeste
51;Mato Grosso;16;   88;   91;  11;  77;   90;  475; 3484466; 0,315686823; 2,20980776;2,582892e+00;13,63193098;MT;5;Centro Oeste
51;Mato Grosso;17;   94;   98;  27;  67;  117;  542; 3484466; 0,774867655; 1,92281974;3,357760e+00;15,55475071;MT;5;Centro Oeste
51;Mato Grosso;18;  120;  123;  55;  65;  172;  607; 3484466; 1,578434113; 1,86542213;4,936194e+00;17,42017285;MT;5;Centro Oeste
51;Mato Grosso;19;  204;  205;  90; 114;  262;  721; 3484466; 2,582892185; 3,27166343;7,519086e+00;20,69183628;MT;5;Centro Oeste
51;Mato Grosso;20;  233;  237; 106; 127;  368;  848; 3484466; 3,042073018; 3,64474786;1,056116e+01;24,33658414;MT;5;Centro Oeste
51;Mato Grosso;21;  309;  311; 112; 197;  480; 1045; 3484466; 3,214265830; 5,65366400;1,377542e+01;29,99024815;MT;5;Centro Oeste
52;Goiás; 1;    2;    3;   0;   2;    0;    2; 7018354; 0,000000000; 0,02849671;0,000000e+00; 0,02849671;GO;5;Centro Oeste
